role_id,action_id
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d47
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d48
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d49
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d50
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d51
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d52
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d53
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d54
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d55
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d56
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d57
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d58
df5d7a7a-782c-11eb-9439-0242ac130003,ee7fdff3-51be-4a18-9e5f-797a2fc37d59
df5d7a7a-782c-11eb-9439-0242ac130004,ee7fdff3-51be-4a18-9e5f-797a2fc37d45
df5d7a7a-782c-11eb-9439-0242ac130004,ee7fdff3-51be-4a18-9e5f-797a2fc37d46
df5d7a7a-782c-11eb-9439-0242ac130004,ee7fdff3-51be-4a18-9e5f-797a2fc37d49
df5d7a7a-782c-11eb-9439-0242ac130004,ee7fdff3-51be-4a18-9e5f-797a2fc37d50
df5d7a7a-782c-11eb-9439-0242ac130004,ee7fdff3-51be-4a18-9e5f-797a2fc37d52
df5d7a7a-782c-11eb-9439-0242ac130004,ee7fdff3-51be-4a18-9e5f-797a2fc37d53
df5d7a7a-782c-11eb-9439-0242ac130004,ee7fdff3-51be-4a18-9e5f-797a2fc37d54
df5d7a7a-782c-11eb-9439-0242ac130004,ee7fdff3-51be-4a18-9e5f-797a2fc37d55
df5d7a7a-782c-11eb-9439-0242ac130005,ee7fdff3-51be-4a18-9e5f-797a2fc37d45
df5d7a7a-782c-11eb-9439-0242ac130005,ee7fdff3-51be-4a18-9e5f-797a2fc37d46
df5d7a7a-782c-11eb-9439-0242ac130005,ee7fdff3-51be-4a18-9e5f-797a2fc37d49
df5d7a7a-782c-11eb-9439-0242ac130005,ee7fdff3-51be-4a18-9e5f-797a2fc37d50
df5d7a7a-782c-11eb-9439-0242ac130005,ee7fdff3-51be-4a18-9e5f-797a2fc37d52
df5d7a7a-782c-11eb-9439-0242ac130005,ee7fdff3-51be-4a18-9e5f-797a2fc37d53
df5d7a7a-782c-11eb-9439-0242ac130005,ee7fdff3-51be-4a18-9e5f-797a2fc37d54
df5d7a7a-782c-11eb-9439-0242ac130005,ee7fdff3-51be-4a18-9e5f-797a2fc37d55



